job_title,company,location,job_type,salary,posted_date,description_summary,key_skills,contact_emails,email_apply_required,application_channel,apply_url,source_url,scraped_at,status,applied,flagged
Digital Marketing/Data Entry,Lauri's Boutique,Unknown Location,N/A,N/A,N/A,"Digital Marketing/Data Entry  Lauri’s Boutique, située à Kirkland, est une boutique de mode féminine haut de gamme.  Nous recherchons une personne créative, organisée et passionnée de mode, possédant une expérience en marketing digital, pour rejoindre notre équipe. Ce poste est un remplacement de congé maternité, avec possibilité de CDI pour la personne idéale. Si vous appréciez un mélange de travail en boutique, de tâches en ligne et de créativité visuelle, ce poste pourrait vous convenir parfaitement.  Secteur : Vêtements et Mode Féminine  Ce poste requiert une présence sur place et ne peut être effectué à distance.  Remplacement de congé maternité, avec possibilité de CD  Responsabilités :  Réceptionner, contrôler et saisir les nouveaux articles dans notre système. Mettre en ligne les n","Réceptionner, contrôler et saisir les nouveaux articles dans notre système. | Mettre en ligne les nouveaux produits sur notre site web/boutique en ligne, y compris les descriptions et les prix. | Renouveler les visuels du site web à chaque saison, en actualisant les photos. | Répondre aux appels et aux e-mails entrants. | Concevoir et programmer des campagnes d'e-mailing. | Participation à la sélection des vêtements et à la mise en scène des vitrines pour un rendu toujours attrayant. | Posséder un soutien ponctuel aux ventes en magasin et conseiller la clientèle. | Expérience en marketing numérique (ex. : Mailchimp ou Constant Contact).",N/A,no,platform,https://ca.indeed.com/viewjob?jk=716a74905ae4baa9&q=social+media+specialist&l=Remote&tk=1jnln5qb1g1qp800&from=ja&alid=658300af059718548496a27b&g1tAS=true&xpse=SoDq67I3k-fpqQxUKp0LbzkdCdPP&xfps=187b0b11-cbf4-42f6-9bc2-9b65bb179eb4&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jnln5qb1g1qp800&xkcb=SoDB67M3k1mYhXaWGZ0NbzkdCdPP,https://ca.indeed.com/viewjob?jk=716a74905ae4baa9,2026-05-06,saved,,
"Content Creator & Marketing Specialist (Part-Time, On-Site – Ottawa)",Dialist Marketplace Inc.,Unknown Location,N/A,N/A,N/A,"About Dialist Marketplace INC. Dialist Marketplace INC. is a modern marketplace for high-end luxury watches, connecting buyers and dealers through a secure and transparent platform. We are focused on building a strong, trusted brand while reaching a wide audience through engaging and creative content.Position Overview We are looking for a creative, marketing-driven content creator to join our team on-site in Ottawa. This role is focused on developing engaging content that captures attention, communicates our brand, and drives growth across platforms like Instagram and TikTok.You will be responsible for planning, shooting, and editing content, while working closely with management, watchmakers, dealers, and owners to bring ideas to life. This role requires someone who can both execute and t","Plan, shoot, and edit engaging short-form content (Instagram Reels, TikTok) | Collaborate with the team to develop content ideas before execution | Work alongside watchmakers, dealers, and owners to create authentic content | Appear on camera when needed to help deliver content | Write captions and help communicate brand messaging | Research the luxury watch market and analyze competitor content | Continuously improve content based on performance metrics and feedback | Deliver 1–2 high-quality posts per week consistently",N/A,no,platform,https://ca.indeed.com/viewjob?jk=d560143d5c700cc0&q=social+media+specialist&l=Remote&tk=1jnln5qb1g1qp800&from=ja&alid=658300af059718548496a27b&g1tAS=true&xpse=SoBh67I3k-fpR5R7gZ0LbzkdCdPP&xfps=408665d5-55d6-4884-9581-cf72acedbe8d&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jnln5qb1g1qp800&xkcb=SoDo67M3k1mYhXaWGZ0PbzkdCdPP,https://ca.indeed.com/viewjob?jk=d560143d5c700cc0,2026-05-06,saved,,
Program Development Intern – 3 Month Position,PEI Humane Society,"309 Sherwood Rd, Charlottetown, PE",N/A,N/A,N/A,Program Development Intern – 3 Month Position.  Candidates must be returning to post-secondary education in the fall of 2026 to qualify for this role as per funding agreement.  This position is available subject to funding approval.  The Program Development Intern will work closely with the Development and Communications Coordinator and the Community Development Specialist to foster and evolve the ongoing summer animal welfare education outreach program at the PEI Humane Society.  This position involves coordinating and communicating with community members and partners to organize and deliver educational outreach programs and presentations to groups Island-wide.  This job involves driving to off-site locations regularly so successful applicants must have their own transportation and be com,"8 hour shift | Weekend shifts required, some evenings. | Social media: 1 year (preferred) | Dental care | Flexible schedule | Work from home | Are you located in Charlottetown, PE and/or moving to the area before the start date? | Are you a student returning to their studies in September 2026?",N/A,no,platform,https://ca.indeed.com/viewjob?jk=04fe5489945b9596&q=social+media+specialist&l=Remote&tk=1jnln5qb1g1qp800&from=ja&alid=658300af059718548496a27b&g1tAS=true&xpse=SoDH67I3k-fpBWx7oJ0LbzkdCdPP&xfps=e8a5f261-d375-4f06-9c15-4cc8f4b5ea27&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jnln5qb1g1qp800&xkcb=SoC-67M3k1mYhX6WGZ0LbzkdCdPP,https://ca.indeed.com/viewjob?jk=04fe5489945b9596,2026-05-06,saved,,
Assistant Editor,WPP Production,Unknown Location,N/A,N/A,N/A,"About WPP Production  We are WPP Production - the unified global production company that brings together all of WPP's content producers, studios and craft experts into one connected organisation. We combine world-class human craft with next generation technology to originate, design, and deliver multi-channel content systems at scale. Built for borderless collaboration and powered by deep craft expertise, we are the production engine designed for today's always on, AI driven marketing world.  About WPP  WPP is the trusted growth partner for the world's leading brands. We unite cutting-edge media intelligence and data solutions, world-class creativity, next-generation production, transformative enterprise solutions and expert strategic counsel in a single company – powered by exceptional ta","Conducting footage/music searches, QC, conversion, ingestion, synchronization, and organization of project media | Developing expertise in delivery formats and platform destinations, including final QC | Providing support to editors throughout the project lifecycle | Maintaining close communication with Producers to ensure timely project delivery | Leading project wrap efforts to facilitate archival of critical client data | Balancing independent and managed workflows, often transitioning between both | Troubleshooting problems and effectively communicating issues to post tech teams | Comfortably working both on-site and remotely",careers@wppproduction.com,yes,email,https://ca.indeed.com/viewjob?jk=a88443ebc60da4bb&q=youtube+video+editing&tk=1jnl9hgpfg4a0800&from=ja&alid=64e7765355f0fe5ab73306b9&g1tAS=true&xpse=SoBY67I3k-fnKk20EJ0LbzkdCdPP&xfps=8d326bed-d7c9-4903-a112-dcf79ce642b5&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jnl9hgpfg4a0800&xkcb=SoDj67M3k1bJqfhe3T0DbzkdCdPP,https://ca.indeed.com/viewjob?jk=a88443ebc60da4bb,2026-05-06,saved,,
Junior Developer Needed for eLearning Company - AI Training,Mammoth Interactive INC,Unknown Location,N/A,N/A,N/A,"Are you ready to build a career at the forefront of AI? Mammoth Interactive Inc. is offering an opportunity to work directly with cutting-edge technologies like generative AI, machine learning workflows, and automation tools—without being stuck doing low-impact work. From day one, you’ll create real projects, train others, and contribute to production-level AI content.  Start Date: ASAP Hours: 40 hours per week Type: Work from home Location Requirement: Must be based in Canada  About Mammoth Interactive Inc.  Mammoth Interactive is an established online education company focused on practical, career-driven learning. We are rapidly expanding our AI-focused curriculum, helping professionals and businesses adopt AI tools to improve productivity and decision-making.  Our core areas include:  G","Generative AI (ChatGPT, automation, prompt engineering) | Applied AI for business workflows | Cloud + AI (AWS, Google Cloud, Azure) | Software development and data science | AI-powered content creation (video, design, marketing) | Build and teach AI-driven projects (prompt systems, automations, workflows) | Record high-quality screencasts and tutorials (AI-focused content) | Train users in live virtual AI bootcamps",N/A,no,platform,https://ca.indeed.com/viewjob?jk=d4e2339c2c189990&tk=1jnk27muhps3d801&from=jobi2a&advn=3702595375504272&adid=461405675&ad=-6NYlbfkN0BSXzY0E2CKcx4daM1P1IOPkbNmUYvYiBfee84Ul_49GIwA-J-3RCNUgpg7n9MXB0_J_irV4oCuQJd1zQYpSn9jdeaNMy0UQq8DqZIMqHvf8M83NPiSeRUBzbUUu9ZmnYFZyDjRD8dAZ5ASWQSfauZU2PsdjWsZPVf9oCiMGVizXBL2pCRtZ1zp5mEt2iK7PSU4I-rrzBtrQmxgUN_nFUsJcjUrgUEOdOhYCm2h1DrpWBzmb-WT_GlY3SJmn06PKCJpVLYpesqF2sGmMuGRMxcQ1dnMNkV-D-bvNqVE1Pk2RwMUNBXytZg0JiYl-HW7JQCz-Wanngv-X6SPHRB2ODgdMIJXx0PcSdS-LxY5C9Gkq1uusUfZ8O62or1RPa70Vs9SlTGAIdNX3wfbbGRD63IzqH6ZLsxxNgL4K3T1DaOz-SL3xNCxcsSY24KkNoqxpfSaYj4NgK8ZYcRhljQAavguo2o1_m3jvDLvjB7zIeYzgefYnc9aEom_GDGzlY89RCR4dWArabaYYLn9FCJZmMyQLG32s7FqDXTTXItuBLt3TEp9PB1kBAyvbogapMZ2L2JrReFWXxTXnBRE_9FaQRyORKtmjjI7vulWLYKR4ZvkZw%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=C3EPSzFlQw8weW16OoT1Wg%3D%3D&jrtk=5-cmh1-1-1jnk27m5mj4ld803-d4e2339c2c189990&xkcb=SoAe6_M3k0MRPf1fTR0PbzkdCdPP&xpse=SoAf6_I3k-f_yNQpSp0PbzkdCdPP&xfps=1d0aada6-dd8a-49ab-b030-2dc467c39bc1,https://ca.indeed.com/viewjob?jk=d4e2339c2c189990,2026-05-06,saved,,
Full Stack Developer,ImEX Systems Inc.,Unknown Location,N/A,N/A,N/A,"ImEX Systems is an industry leader in the collision repair software industry. Located in Vancouver, BC, we have been creating software that helps our clients run their business better for almost 35 years.  ImEX Systems is part of Convenient Brands which is a portfolio of companies focusing on the automotive space providing software solutions in the estimatics, management and glass verticals.  We are seeking an experienced Full Stack Developer to become an integral part of our team. Our products We are using a PERN (Postgres, Express, React, Node) stack for a full scale enterprise SaaS application with a rapidly growing user base.  You are:  An authentic human Driven to succeed An expert problem solver Passionate about technology Motivated by exceptional results Someone who cares about your","An authentic human | Driven to succeed | An expert problem solver | Passionate about technology | Motivated by exceptional results | Someone who cares about your clients | Looking to add more value than just code | Post-secondary education in Computer Science, Software Development, Computer Engineering or a related field;",N/A,no,platform,https://ca.indeed.com/viewjob?jk=a3a6a5accc85f8ee&tk=1jnk27muhps3d801&from=jobi2a&advn=9513619407030234&adid=461341391&ad=-6NYlbfkN0CnPM5TG9-R82MjHedk5uY5gy9qfj5egHc4BqL7Mi3-5nlqT3OQVQ84iV7PiPtcuBU9w_c_cwyotiFfoY5CewKa6BoYYEINtIhAHkJZSTf8T-mFHI-NQtYYDxEUsRb_KGHPfFU56hXvWqVU-WCdtK60ZOUD95JYsJnDa2Av4GmQoi7YYMFNJJSEcdsxl5O_IZsMDhLoAOEJDczofgSNv3h8fLrYCTbKaIhMozam6c_IX1GndoWS5ibuhfRTBbIQG15Huyd6CoIbAR1gyWGMkybso9u2r1F-_57swd_DWheluX69sqnSs07TVkjtqMTJHQTiJTVkvOlNH4Op-sgIFjxOtZvUlzYI-NG94pb30a0wq2Gu0DyQgHZAxYxS9VfxhTJE2vKy6GPvIhwlsmtbqwUBxb2-tMFUphg0dzya8shPJhl4kvnMmMCTo9dmq6b0XFOjwpqUPoAbilvq52tW8lJhf19QnDN8yuQlWDZfJRWRG6EXqBoxpICXvS8K4AfRMKsL1wEuDy8nBS6-HqviI9eYLl_eCEJVn2gfNb8Yy_nMwXEeJEB-YIiBfeLTczIcfL8GuqmrWW5FtCWOt3QHVf6aIxxRsCICactDEMZRuDcliw%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=C3EPSzFlQw_598L1XavTiA%3D%3D&jrtk=5-cmh1-1-1jnk27m5mj4ld803-a3a6a5accc85f8ee&xkcb=SoB56_M3k0MRPf1fTR0HbzkdCdPP&xpse=SoB96_I3k-f_iVXqbJ0NbzkdCdPP&xfps=eefa8c49-625b-40bc-8f11-0699980637b3,https://ca.indeed.com/viewjob?jk=a3a6a5accc85f8ee,2026-05-06,saved,,
Intermediate Software Developer,Kyndryl,Unknown Location,N/A,N/A,N/A,"Role: Intermediate Software Developer Clearance: Enhanced Reliability (Mandatory) Work Arrangement: Remote Duration: Two (2) Years Start: June 2026 End: May 2028  Background  The Intermediate Software Developer will support the development and ongoing improvement of web‑based applications for a public‑sector organization. The role involves working as part of an Agile team to build new functionality, fix issues, test solutions, and help keep applications running smoothly. The resource will contribute across the full development process and help ensure applications are secure, reliable, and able to grow as user needs evolve. Key Responsibilities Application Development & Maintenance  Develop and enhance cloud‑based web applications used by a range of internal and external users. Implement ne","Develop and enhance cloud‑based web applications used by a range of internal and external users. | Implement new features and resolve issues across both back‑end and front‑end components. | Build and maintain application services and user interfaces. | Design and maintain database structures that support application functionality. | Participate in testing activities, including unit testing, integration testing, and User Acceptance Testing (UAT). | Support automated testing as part of the development and release process. | Use container and source‑control tools to support consistent development and deployment. | Contribute to automated build and release pipelines.",N/A,no,platform,https://ca.indeed.com/viewjob?jk=e1671fa5415cbe3c&tk=1jnk27muhps3d801&from=jobi2a&advn=3746667669106493&adid=442279581&ad=-6NYlbfkN0C7m68obadsLCmy0InlM7BI5kkt5AguNm46WQVdUmVC5NIVz5_Lp1AtBwQF648jnpXMx8nPsVv1UU7pzWVPNGclrIhVVpjZ0Bihrx1et0gYk7BBgGf5MzexOLI6BaBYWRgEFum1JbnID1mAptcxRblkD-UydKegP1zS9W3WUyePZBfve028Gr3osQWpI1eMCLNpRq9nItE9ELKr4CBongVo_nwLXSOXwY9SvBiz-NYrldWGiIjtL4pzh4YNdkyEy-4oa9aUbx8nHuZGZomXFE9-bohHTueqHNNjSh5wygVHqQMtaoy_0xVFQhnhqxluHTo5qO6ygCBc2oBCpbexCn6oEEmAiSw-0-Qs9JbS2EKyuq_HHjEZ8FqikqqGV1lnof0znGie5fddGBgEJRGORVbNoSA_mJeZ64n3prQ0W9ssupeQe20v1-Wiy2Kq8dJiwxYO0SQRL63VNHiPZyFp-WqCctt0a7wzuky34YDgKgS9RYNEbO9Ghao6CiArmextAF8hw3uip1l25goJ4G1bpPTTEsgP7m8wBGEeQxP2PrpizTQDDPs3N_hfY218vmYFIszt8cXeOfAaErwUyL67JZ9Tm6Pb0ZHcZWr3FOV0Tw7ydQ%3D%3D&sjdu=v3PwQ_borUc34FoZaMGd5KlyjTUVR-l8r2BkJYbrMRFd-8Jq5duni0f4vPlATEi42D10dg6Ws6uo99QB4VRPN4eUAe6PAFRWAJcyTKv4U20OOObAfxq4ve5P3LQXFNC2&acatk=1jnubs4a923b4002&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=ethIe0s0heewaR-B1-lxHQ%3D%3D&jrtk=5-cmh1-1-1jnk27m5mj4ld803-e1671fa5415cbe3c&xkcb=SoDk6_M3k0MRPeVfTR0DbzkdCdPP&xpse=SoAD6_I3k-f_URgTCL0PbzkdCdPP&xfps=2ebe1077-650e-40e0-8cec-f58d08709d80,https://ca.indeed.com/viewjob?jk=e1671fa5415cbe3c,2026-05-06,saved,,
IT Infrastructure Specialist,CSG - The Global Talent Experts,Unknown Location,N/A,N/A,N/A,"Infrastructure Specialist Full-time | Site-based | 7 days on / 7 days off roster   Why this role stands out:  Take ownership of a business-critical IT environment supporting large-scale operations Broad, hands-on role across systems, networks, and infrastructure projects Lifestyle-friendly 7/7 roster with flexible living options The Opportunity  An established, globally backed organisation operating in a heavy industrial environment is looking to bring in an experienced Infrastructure Specialist to support and enhance its on-site technology landscape. This is a varied, hands-on position where you'll be responsible for keeping systems running reliably while also contributing to upgrades, improvements, and future-focused initiatives. You'll be working closely with both technical teams and op","Take ownership of a business-critical IT environment supporting large-scale operations | Broad, hands-on role across systems, networks, and infrastructure projects | Lifestyle-friendly 7/7 roster with flexible living options | Maintain and improve core IT systems across servers, networks, and storage environments | Ensure systems remain secure, stable, and fit for purpose in a 24/7 operational setting | Plan and deliver upgrades, patches, and infrastructure improvements | Investigate and resolve technical issues, focusing on long-term fixes rather than quick fixes | Support and contribute to infrastructure-related projects",N/A,no,platform,https://ca.indeed.com/viewjob?jk=b34889e436e90561&tk=1jnk27muhps3d801&from=jobi2a&advn=8886489124764881&adid=461231521&ad=-6NYlbfkN0C6a2ErnC381qEygBAp-T7OZaEqCJxG_cu95wzWbEfeVBNeLgOx7IOHUnXtZvMNYjjd8lwWvVXToEWDKcQhfelmtmSKtklrjjcAagLRRuNCTNWJKdLvYtz9xw6UWWnjmSG_qpqx3jRVdcTLxvuCQHEO-FD9gpoEfIjCpD5wO-6eZqD55pAcnNK_F56vb3oqU5tjAhDrKZZkUZTXMkQeitwxzsmxHvfTdFiczM-41JJylGhAKQ2hwUFcgQMUD7BprMLHeOtqfJntuHIeiAAJQmzirAyYdLQ7ix_NzqCmv3GAuiM6n96e6Nv5mj1l65VPGmmKo0S_IGSZIBzPd6IPO2VLQftxR3rkO44c0E8tolYe2FCUK9yFooNjtmDyvZqUXO48pIEzqT6jyGh6B7NHjjhvMEEL_pjFY-wubZg-8V-1OyH9RtZ4U-l_hcKQe1D6Es7kNIHf1O1mRbnX3eajrDDT1b_D3TFhl7mXuhrMhxuQbkq4bdcl31c2uy6SQUBJCwYZowr42wy1XaVQyJzqtvXDhod52NgDbgDSBKlYTVp6hp5OueOeyFUNxLGfXfDbIue6_6qN2-MVf5n55ypooKhe_NrVVnVUjus37OasaHTGw0LRKaGsDA3R&sjdu=vUz3PJIdpGfygLQXVlxEDnPnVx1RwR9WnnR1VGa-f8pH-GgLeoKO-8Zd-CKKiui-1iPbF9VnBzENhDG7GYoSrAu-aXdS2NJGDnJNnbUcocg&acatk=1jnubsa102bps004&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=C3EPSzFlQw_dbQ9ehtSMnQ%3D%3D&jrtk=5-cmh1-1-1jnk27m5mj4ld803-b34889e436e90561&xkcb=SoCq6_M3k0MRPeVfTR0JbzkdCdPP&xpse=SoB66_I3k-f-mlACJL0NbzkdCdPP&xfps=d15fd142-6118-4494-a8f3-c39ebd7a909c,https://ca.indeed.com/viewjob?jk=b34889e436e90561,2026-05-06,saved,,
Management Development Program - New Graduates,Guillevin,"122 Dell Street, Greater Sudbury, ON P3C 2Y1",N/A,N/A,N/A,"Management Development Program - New Graduates  Status:  Regular, Full time  Location:  Concord, Ontario  Job Description  We are looking for University and College graduates in business, general studies, science, engineering, sales and/or entrepreneurship. Candidates should have a strong desire to advance themselves, want to be evaluated based on their own performance and entrepreneurship, aspire to be future business leaders and want to have control over their career advancement.  We invite suitable candidates to join our CORPORATE MANAGEMENT DEVELOPMENT PROGRAM. This fast paced, three-year program will prepare you to every facet of our business through a hands-on and structured training program. Successful graduates of our program will be considered to manage existing and new Business C",A strong national network offering real opportunities to grow: our people make the difference. | Flexible group insurance plan customizable to your needs. | Free health resources available 24/7: Telemedicine and Employee Assistance Program (EAP). | Group RRSP with employer contribution and TFSA. | Postsecondary Scholarship Program for our employee’s children. | Charging terminals available at our facilities. | Years of Service Recognition Program.,talents@guillevin.com,yes,email,https://ca.indeed.com/viewjob?jk=6023479370c49a8f&tk=1jnp78qugk7ns801&from=jobi2a&advn=1464063510846964&adid=443994478&ad=-6NYlbfkN0AgF_6eFdKaNqw-Zbr8Erad6kc0X0nfYXzfGzLhGtWmicXKJn9Yiw6B-Zc8e4-S5zmTpOvrWg_Wv2F4iAmwJANlmdoIIgZIvS2Jw5n_hrwXYMXIubcxLH7yuWOiuH6yLun6sNT7sIFdwQCvA_-n0kJsnU-hCB2PMNqHZ9Cu4lEgeqHwAbnNrD_CENv2NXNRwtysPZLMJltPOY6Y5fljRBuyjBSKEAJ904196eB3jvw4mZ8G86o6UP7YVdu9_GnXu6WLVnPI7X5DXQVz2KUWjN4WMc56cyjvnYFI6z-vJDugB6JcfScdf6HsI4R1jZO8hrZXh-YY5gY6M-4RXawyt5saO6MbjLju-KNg1Kt7q2qvN4rsyM10op-z_VHkSwyjDlktKPpfTmC3YTes7-MwFJAgxAuQen4t-eGlWvxIQ9XcGKgCM2SXZxPSXChg8qV5RB3fHoUkuf2rFRpsgtdnvkratEjdZaX5JP-Ppx1AJecDazR_rRZphJpmgt26BahBFssJD216cJDuL7S-WKnnLikhGHHpGQra0CuLXi8FGFh6vjwSeVCwct8xt8IvrdE7cclPCOlDthsxoQBajC0Ymt7kpLni9JcPlsMjEOKYqU1TxqKYPW0VdcDg&sjdu=Eh-KAaE52AVmrovaGMRG2PAwsbREf_xzW_dNOR4eSC6JvyiqSuPWPUM7Pb0kvz-EA30FY4bJrJiJS0PAGDtlL_S_7TgwTulZ7P-eLuyAw6H7_aFGPf2FRmJoJzn1GusXvEYKmb4kRRAmyoxbXzCamw&acatk=1jnubkrdc23b4006&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_jobmatch-en-CA_email&camk=ethIe0s0heedOVcRNocUoA%3D%3D&jrtk=5-cmh1-1-1jnp78pcqi8io805-6023479370c49a8f&xkcb=SoBQ6_M3k5GsbaWqhR0JbzkdCdPP&xpse=SoC56_I3k-fctjATCL0DbzkdCdPP&xfps=9db1b9c1-5c29-417f-a91e-ef8e37f4047f,https://ca.indeed.com/viewjob?jk=6023479370c49a8f,2026-05-06,saved,,
IT Manager,IMG-NA,Unknown Location,N/A,N/A,N/A,"Company Overview: IMG-NA, LLC (IMG) is a System Integrator specializing in Assembly and Joining automation equipment. We provide custom Turn-Key automation equipment from our 60,000 sq ft facility in Warren and we service Tier 1 automotive suppliers throughout the Continental US, Canada and Mexico.  We pride ourselves on employing the best and most talented professionals in the industry. Our growing team consists of engineers and project managers with extensive experience, and we are looking to find the next key individual to join our organization and add to our talent pool.  IMG’s Guiding Principles & Core Beliefs.  We have a Passion for Innovation and Invention This passion is our motivation to provide our Customers with solutions that are the Benchmark of the IndustryIntegrity is Who we","Ethical Business Conduct is the basic foundation of our Organization | We do the right thing even when no one is watching | Our employees’ diverse Talent, Initiative, Leadership and Creativity are keys to our success | We Motivate & Empower our employees to adopt Extreme Ownership | We hold each other accountable through supportive actions | We uphold our responsibility towards our Customers by sharing a vested interest in their Success | · Manage IT infrastructure, networks, servers, endpoints, and cloud services. | · Administer Microsoft 365 (Teams, SharePoint, OneDrive, Exchange, security).",N/A,no,platform,https://ca.indeed.com/viewjob?jk=26b374df09d62ac3&tk=1jnp78qugiot9804&from=jobi2a&advn=6554726773603927&adid=461055305&ad=-6NYlbfkN0C88re-crBypEQ6mc9lGUWvNNuy6kYzYpPGPFuxDGEw8xKW9yrY2PzQXxNK9Zigtj_heF2kqlFvclSQEiMHrdeA8GUdjYuOMeK6LAp21XpPDlE8DeqM9ZC-WBnlNh46PZtbsni39nHaFz04k3PvhH0gCcHsE5MGrdyBmaxv67N8OUYNBwLhTIzeS8ynPDc3unoXVWz6YMxU9Jl-1pmPNAh0oSvUg_jpR_oyy2uPwiq1_gf-r3Oj0vUcHZ44Htqhl9Dsmf6zby__s_9ypIbbI537KunQfGI9IgtrbFHy_ZZ5N0jy6PI3p47sH9s8d9mKFnhd049An-NBWmGPzPNdV9YJ-1GI0U0q0OuuDQvvOk1LmnkWVM-ZanalQROSUpEUm1kYBbnKQHynncGiiGcXIROjO9W3a-lkffOQjJVlV9PvvBwwmtQKtGXP2PS-dXdHGFwS8vbNFJ_xYR1svVugt-wnn8KWtJJ6dlQl7NgXlA2SEcldpdxgz6PSZjsZEDqrezmw_VK2ACQ7tR8Co8jgLq60pBD1sKnw0IVD41OltFg9Hd9zl3ZTkNLOgomtazGOOUZoScPG8LdlZ4OShA1wvLz8-lvySjIlYObj2gRKm0dJwKenHN5hIrj1&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_jobmatch-en-CA_email&camk=C3EPSzFlQw9vx8tbt0nHHw%3D%3D&jrtk=5-cmh1-1-1jnp78pcqi8io805-26b374df09d62ac3&xkcb=SoAO6_M3k5GsXiSBy50KbzkdCdPP&xpse=SoDl6_I3k-fcKuQHTZ0PbzkdCdPP&xfps=d00042c4-df62-4abf-808d-d801b4d58cfa,https://ca.indeed.com/viewjob?jk=26b374df09d62ac3,2026-05-06,saved,,
